cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions
kv_only,100.0,0.2,20.0,80.0,16,16,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,79.98849024,1048576,26787840,14828,2986,0
ssm_only,100.0,0.2,20.0,80.0,16,16,1238,0.7512116316639742,0.7891821191109456,1221.0064516129032,1438877,1135536,15.548284928,79.98849024,1048576,26787840,14828,2986,26407
hybrid_intersection,100.0,0.2,20.0,80.0,16,16,1238,0.7512116316639742,0.7891821191109456,1221.0064516129032,1438877,1135536,15.548284928,79.98849024,1048576,26787840,14828,2986,26407
kv_only,100.0,0.2,20.0,80.0,16,32,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,79.98849024,1048576,26787840,14828,2986,0
ssm_only,100.0,0.2,20.0,80.0,16,32,1238,0.8836833602584814,0.9089755413423107,1195.524680073126,1438877,1307904,15.548284928,79.98849024,1048576,26787840,14828,2986,4982
hybrid_intersection,100.0,0.2,20.0,80.0,16,32,1238,0.8836833602584814,0.9089755413423107,1195.524680073126,1438877,1307904,15.548284928,79.98849024,1048576,26787840,14828,2986,4982
kv_only,100.0,0.2,20.0,80.0,16,64,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,79.98849024,1048576,26787840,14828,2986,0
ssm_only,100.0,0.2,20.0,80.0,16,64,1238,0.9127625201938611,0.908575229154403,1156.9274336283186,1438877,1307328,15.548284928,79.98849024,1048576,26787840,14828,2986,686
hybrid_intersection,100.0,0.2,20.0,80.0,16,64,1238,0.9127625201938611,0.908575229154403,1156.9274336283186,1438877,1307328,15.548284928,79.98849024,1048576,26787840,14828,2986,686
kv_only,100.0,0.2,20.0,80.0,32,16,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,79.98849024,2097152,26787840,7392,2986,0
ssm_only,100.0,0.2,20.0,80.0,32,16,1238,0.7512116316639742,0.7891821191109456,1221.0064516129032,1438877,1135536,15.502147584,79.98849024,2097152,26787840,7392,2986,26399
hybrid_intersection,100.0,0.2,20.0,80.0,32,16,1238,0.7479806138933764,0.784155977196105,1218.4708423326133,1438877,1128304,15.502147584,79.98849024,2097152,26787840,7392,2986,26399
kv_only,100.0,0.2,20.0,80.0,32,32,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,79.98849024,2097152,26787840,7392,2986,0
ssm_only,100.0,0.2,20.0,80.0,32,32,1238,0.8836833602584814,0.9089755413423107,1195.524680073126,1438877,1307904,15.502147584,79.98849024,2097152,26787840,7392,2986,4982
hybrid_intersection,100.0,0.2,20.0,80.0,32,32,1238,0.8836833602584814,0.9089755413423107,1195.524680073126,1438877,1307904,15.502147584,79.98849024,2097152,26787840,7392,2986,4982
kv_only,100.0,0.2,20.0,80.0,32,64,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,79.98849024,2097152,26787840,7392,2986,0
ssm_only,100.0,0.2,20.0,80.0,32,64,1238,0.9127625201938611,0.908575229154403,1156.9274336283186,1438877,1307328,15.502147584,79.98849024,2097152,26787840,7392,2986,686
hybrid_intersection,100.0,0.2,20.0,80.0,32,64,1238,0.9127625201938611,0.908575229154403,1156.9274336283186,1438877,1307328,15.502147584,79.98849024,2097152,26787840,7392,2986,686
