cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens
kv_only,1.0,0.25,0.25,0.75,32,32,1238,0.07754442649434572,0.04619157857134418,692.3333333333334,1438877,66464,0.249561088,0.72327168,2097152,26787840,119,27,46664,,
ssm_only,1.0,0.25,0.25,0.75,32,32,1238,0.04281098546042003,0.03138002761876102,851.9245283018868,1438877,45152,0.249561088,0.72327168,2097152,26787840,119,27,48556,,
hybrid_intersection,1.0,0.25,0.25,0.75,32,32,1238,0.04281098546042003,0.03138002761876102,851.9245283018868,1438877,45152,0.249561088,0.72327168,2097152,26787840,119,27,95220,,
vllm_plus,1.0,,,,32,,1238,0.045234248788368334,0.03167678682750506,813.9107142857143,1438877,45579,0.175177728,2.25017856,2097152,26787840,,84,,600889237307392,2673
marconi_v2,1.0,,,,,,1238,0.9507269789983845,0.1999336982938778,244.4180118946474,1438877,287680,0.66551808,0.18751488,2097152,26787840,,7,,3800331933188096,10155
kv_only,1.0,0.5,0.5,0.5,32,32,1238,0.1518578352180937,0.11146470476628649,853.1063829787234,1438877,160384,0.499122176,0.48218112,2097152,26787840,238,18,43609,,
ssm_only,1.0,0.5,0.5,0.5,32,32,1238,0.03796445880452343,0.030423726280981625,931.4042553191489,1438877,43776,0.499122176,0.48218112,2097152,26787840,238,18,48707,,
hybrid_intersection,1.0,0.5,0.5,0.5,32,32,1238,0.03796445880452343,0.030423726280981625,931.4042553191489,1438877,43776,0.499122176,0.48218112,2097152,26787840,238,18,92316,,
kv_only,1.0,0.75,0.75,0.25,32,32,1238,0.2148626817447496,0.1711779394625114,925.9548872180451,1438877,246304,0.748683264,0.24109056,2097152,26787840,357,9,40805,,
ssm_only,1.0,0.75,0.75,0.25,32,32,1238,0.03715670436187399,0.030334768017002148,948.8695652173913,1438877,43648,0.748683264,0.24109056,2097152,26787840,357,9,48793,,
hybrid_intersection,1.0,0.75,0.75,0.25,32,32,1238,0.03715670436187399,0.030334768017002148,948.8695652173913,1438877,43648,0.748683264,0.24109056,2097152,26787840,357,9,89598,,
kv_only,5.0,0.25,1.25,3.75,32,32,1238,0.35137318255250405,0.33483890561875684,1107.567816091954,1438877,481792,1.249902592,3.72350976,2097152,26787840,596,139,33207,,
ssm_only,5.0,0.25,1.25,3.75,32,32,1238,0.10662358642972536,0.07857238665987433,856.4848484848485,1438877,113056,1.249902592,3.72350976,2097152,26787840,596,139,46045,,
hybrid_intersection,5.0,0.25,1.25,3.75,32,32,1238,0.10662358642972536,0.07857238665987433,856.4848484848485,1438877,113056,1.249902592,3.72350976,2097152,26787840,596,139,79252,,
vllm_plus,5.0,,,,32,,1238,0.12520193861066237,0.08454996500743288,784.8838709677419,1438877,121657,0.361955328,4.66108416,2097152,26787840,,174,,1602929188929536,5523
marconi_v2,5.0,,,,,,1238,0.9983844911147012,0.7508077479867981,874.0453074433657,1438877,1080320,2.884763648,2.009088,2097152,26787840,,75,,14258483303677952,44018
kv_only,5.0,0.5,2.5,2.5,32,32,1238,0.6187399030694669,0.6524643871574847,1225.6083550913838,1438877,938816,2.499805184,2.49126912,2097152,26787840,1192,93,18329,,
ssm_only,5.0,0.5,2.5,2.5,32,32,1238,0.0791599353796446,0.05940188077229673,872.1632653061224,1438877,85472,2.499805184,2.49126912,2097152,26787840,1192,93,46935,,
hybrid_intersection,5.0,0.5,2.5,2.5,32,32,1238,0.0791599353796446,0.05940188077229673,872.1632653061224,1438877,85472,2.499805184,2.49126912,2097152,26787840,1192,93,65264,,
kv_only,5.0,0.75,3.75,1.25,32,32,1238,0.7891760904684976,0.8320933616980465,1225.4657113613102,1438877,1197280,3.749707776,1.23224064,2097152,26787840,1788,46,9656,,
ssm_only,5.0,0.75,3.75,1.25,32,32,1238,0.05492730210016155,0.03896371962301156,824.4705882352941,1438877,56064,3.749707776,1.23224064,2097152,26787840,1788,46,48271,,
hybrid_intersection,5.0,0.75,3.75,1.25,32,32,1238,0.05492730210016155,0.03896371962301156,824.4705882352941,1438877,56064,3.749707776,1.23224064,2097152,26787840,1788,46,57927,,
kv_only,10.0,0.25,2.5,7.5,32,32,1238,0.6187399030694669,0.6524643871574847,1225.6083550913838,1438877,938816,2.499805184,7.47380736,2097152,26787840,1192,279,18329,,
ssm_only,10.0,0.25,2.5,7.5,32,32,1238,0.19466882067851374,0.1611478951988252,962.1244813278008,1438877,231872,2.499805184,7.47380736,2097152,26787840,1192,279,42678,,
hybrid_intersection,10.0,0.25,2.5,7.5,32,32,1238,0.19466882067851374,0.1611478951988252,962.1244813278008,1438877,231872,2.499805184,7.47380736,2097152,26787840,1192,279,61007,,
vllm_plus,10.0,,,,32,,1238,0.22051696284329564,0.17800062131787497,938.1721611721612,1438877,256121,0.722403328,9.29538048,2097152,26787840,,347,,3377933258063872,11023
marconi_v2,10.0,,,,,,1238,0.9983844911147012,0.9036366555306673,1051.9595469255664,1438877,1300222,4.854841344,5.03611392,2097152,26787840,,188,,17159336668692480,74079
kv_only,10.0,0.5,5.0,5.0,32,32,1238,0.8562197092084006,0.8910949302824356,1209.6,1438877,1282176,4.999610368,4.98253824,2097152,26787840,2384,186,6407,,
ssm_only,10.0,0.5,5.0,5.0,32,32,1238,0.1381260096930533,0.11246548523605562,946.3391812865497,1438877,161824,4.999610368,4.98253824,2097152,26787840,2384,186,45135,,
hybrid_intersection,10.0,0.5,5.0,5.0,32,32,1238,0.1381260096930533,0.11246548523605562,946.3391812865497,1438877,161824,4.999610368,4.98253824,2097152,26787840,2384,186,51542,,
kv_only,10.0,0.75,7.5,2.5,32,32,1238,0.9006462035541195,0.9161811607246485,1182.306726457399,1438877,1318272,7.499415552,2.49126912,2097152,26787840,3576,93,4060,,
ssm_only,10.0,0.75,7.5,2.5,32,32,1238,0.0791599353796446,0.05940188077229673,872.1632653061224,1438877,85472,7.499415552,2.49126912,2097152,26787840,3576,93,46935,,
hybrid_intersection,10.0,0.75,7.5,2.5,32,32,1238,0.0791599353796446,0.05940188077229673,872.1632653061224,1438877,85472,7.499415552,2.49126912,2097152,26787840,3576,93,50995,,
kv_only,20.0,0.25,5.0,15.0,32,32,1238,0.8562197092084006,0.8910949302824356,1209.6,1438877,1282176,4.999610368,14.97440256,2097152,26787840,2384,559,6407,,
ssm_only,20.0,0.25,5.0,15.0,32,32,1238,0.35137318255250405,0.34148853585122285,1129.5632183908046,1438877,491360,4.999610368,14.97440256,2097152,26787840,2384,559,34421,,
hybrid_intersection,20.0,0.25,5.0,15.0,32,32,1238,0.35137318255250405,0.34148853585122285,1129.5632183908046,1438877,491360,4.999610368,14.97440256,2097152,26787840,2384,559,40828,,
vllm_plus,20.0,,,,32,,1238,0.4095315024232633,0.39673648268754036,1125.9467455621302,1438877,570855,1.44637952,18.59076096,2097152,26787840,,694,,7534146129887232,22070
marconi_v2,20.0,,,,,,1238,0.9983844911147012,0.9292225812213275,1081.745145631068,1438877,1337037,8.29980672,11.67949824,2097152,26787840,,436,,17643165812260864,126645
kv_only,20.0,0.5,10.0,10.0,32,32,1238,0.9176090468497576,0.9211628235074992,1166.7605633802816,1438877,1325440,9.999220736,9.99186432,2097152,26787840,4768,373,2644,,
ssm_only,20.0,0.5,10.0,10.0,32,32,1238,0.24394184168012925,0.21365551051271234,1017.9602649006622,1438877,307424,9.999220736,9.99186432,2097152,26787840,4768,373,40467,,
hybrid_intersection,20.0,0.5,10.0,10.0,32,32,1238,0.24394184168012925,0.21365551051271234,1017.9602649006622,1438877,307424,9.999220736,9.99186432,2097152,26787840,4768,373,43111,,
kv_only,20.0,0.75,15.0,5.0,32,32,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,14.998831104,4.98253824,2097152,26787840,7152,186,240,,
ssm_only,20.0,0.75,15.0,5.0,32,32,1238,0.1381260096930533,0.11246548523605562,946.3391812865497,1438877,161824,14.998831104,4.98253824,2097152,26787840,7152,186,45135,,
hybrid_intersection,20.0,0.75,15.0,5.0,32,32,1238,0.1381260096930533,0.11246548523605562,946.3391812865497,1438877,161824,14.998831104,4.98253824,2097152,26787840,7152,186,45375,,
kv_only,40.0,0.25,10.0,30.0,32,32,1238,0.9176090468497576,0.9211628235074992,1166.7605633802816,1438877,1325440,9.999220736,29.97559296,2097152,26787840,4768,1119,2644,,
ssm_only,40.0,0.25,10.0,30.0,32,32,1238,0.6058158319870759,0.640121428030332,1228.0746666666666,1438877,921056,9.999220736,29.97559296,2097152,26787840,4768,1119,19755,,
hybrid_intersection,40.0,0.25,10.0,30.0,32,32,1238,0.6058158319870759,0.640121428030332,1228.0746666666666,1438877,921056,9.999220736,29.97559296,2097152,26787840,4768,1119,22399,,
vllm_plus,40.0,,,,32,,1238,0.6930533117932148,0.7434408917509975,1246.7599067599067,1438877,1069720,2.889351168,37.12794624,2097152,26787840,,1386,,14118045864689664,44088
marconi_v2,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,14.293860352,25.66275072,2097152,26787840,,958,,17743329614888960,218107
kv_only,40.0,0.5,20.0,20.0,32,32,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,19.98372864,2097152,26787840,7392,746,0,,
ssm_only,40.0,0.5,20.0,20.0,32,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.502147584,19.98372864,2097152,26787840,7392,746,29365,,
hybrid_intersection,40.0,0.5,20.0,20.0,32,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.502147584,19.98372864,2097152,26787840,7392,746,29365,,
kv_only,40.0,0.75,30.0,10.0,32,32,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,9.99186432,2097152,26787840,7392,373,0,,
ssm_only,40.0,0.75,30.0,10.0,32,32,1238,0.24394184168012925,0.21365551051271234,1017.9602649006622,1438877,307424,15.502147584,9.99186432,2097152,26787840,7392,373,40467,,
hybrid_intersection,40.0,0.75,30.0,10.0,32,32,1238,0.24394184168012925,0.21365551051271234,1017.9602649006622,1438877,307424,15.502147584,9.99186432,2097152,26787840,7392,373,40467,,
