cache_type,model_name,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,Qwen3.5-4B,1.0,,,,32,,1238,0.07027463651050081,0.04201957498799411,694.9540229885057,1438877,60461,0.087588864,2.246049792,1048576,26738688,,84,,436771430465536,2673,
marconi_v2,Qwen3.5-4B,1.0,,,,,,1238,0.9886914378029079,0.4005874025368395,470.9117647058824,1438877,576396,0.585990144,0.40108032,1048576,26738688,,15,,4187799408345088,17883,0
vllm_plus,Qwen3.5-4B,5.0,,,,32,,1238,0.210016155088853,0.15185106162653236,840.3653846153846,1438877,218495,0.189169664,4.839702528,1048576,26738688,,181,,1578763176771584,5773,
marconi_v2,Qwen3.5-4B,5.0,,,,,,1238,0.9983844911147012,0.8666015232712734,1008.8454692556634,1438877,1246933,1.689092096,3.288858624,1048576,26738688,,123,,9062340452286464,51547,0
vllm_plus,Qwen3.5-4B,10.0,,,,32,,1238,0.37318255250403876,0.33388885915891353,1039.8809523809523,1438877,480425,0.375980032,9.652666368,1048576,26738688,,361,,3487449266651136,11474,
marconi_v2,Qwen3.5-4B,10.0,,,,,,1238,0.9983844911147012,0.9193961679837818,1070.3058252427184,1438877,1322898,2.93961728,7.059013632,1048576,26738688,,264,,9610488286806016,89710,0.0
vllm_plus,Qwen3.5-4B,20.0,,,,32,,1238,0.6066235864297254,0.5978231634809646,1145.398135818908,1438877,860194,0.751108096,19.278594048,1048576,26738688,,721,,6246907648671744,22922,
marconi_v2,Qwen3.5-4B,20.0,,,,,,1238,0.9983844911147012,0.9343932803151347,1087.764563106796,1438877,1344477,5.075468288,14.920187904,1048576,26738688,,558,,9765813777727488,154891,0.0
vllm_plus,Qwen3.5-4B,40.0,,,,32,,1238,0.8053311793214862,0.8311745896278834,1199.55667001003,1438877,1195958,1.501822976,38.530449408,1048576,26738688,,1441,,8688779461394432,45832,
marconi_v2,Qwen3.5-4B,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,7.618363392,32.380551168,1048576,26738688,,1211,,9767193531645952,232494,0.0
