cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,1.0,,,,32,,1238,0.0420032310177706,0.034947393001625575,967.0192307692307,1438877,50285,0.175177728,2.25017856,2097152,26787840,,84,,663232075661312,2673,
marconi_v2,1.0,,,,,,1238,0.9588045234248789,0.15808717492878127,191.63268744734626,1438877,227468,0.650051584,0.18751488,2097152,26787840,,7,,3006708225802240,9919,0.6
vllm_plus,5.0,,,,32,,1238,0.0912762520193861,0.07802960225231205,993.5840707964602,1438877,112275,0.362348544,4.66108416,2097152,26787840,,174,,1480665533382656,5529,
marconi_v2,5.0,,,,,,1238,0.9967689822294022,0.7171377400570028,836.2017828200973,1438877,1031873,2.884763648,1.98230016,2097152,26787840,,74,,13621601851277312,44018,0
vllm_plus,10.0,,,,32,,1238,0.16720516962843296,0.15935483019048882,1107.6908212560386,1438877,229292,0.722403328,9.29538048,2097152,26787840,,347,,3026333579608064,11023,
marconi_v2,10.0,,,,,,1238,0.9983844911147012,0.8940764220986227,1040.8300970873786,1438877,1286466,4.839112704,4.98253824,2097152,26787840,,186,,16977402024165376,73839,0
vllm_plus,20.0,,,,32,,1238,0.32148626817447495,0.33219795715686606,1200.9849246231156,1438877,477992,1.446838272,18.59076096,2097152,26787840,,694,,6310882921152512,22077,
marconi_v2,20.0,,,,,,1238,0.9983844911147012,0.9289689111716984,1081.4498381877022,1438877,1336672,7.981236224,12.00095232,2097152,26787840,,448,,17638457223544832,121784,0.0
vllm_plus,40.0,,,,32,,1238,0.6421647819063004,0.6952901464127927,1258.411320754717,1438877,1000437,2.889613312,37.12794624,2097152,26787840,,1386,,13205054948900864,44092,
marconi_v2,40.0,,,,,,1238,0.9983844911147012,0.934393975301572,1087.7653721682848,1438877,1344478,14.55161344,25.42166016,2097152,26787840,,949,,17740787949633536,222040,0.0
