cache_type,model_name,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,Qwen3.5-4B,1.0,,,,32,,1238,0.03715670436187399,0.033426067690289024,1045.5652173913043,1438877,48096,0.087588864,2.246049792,1048576,26738688,,84,,349635974529024,2673,
marconi_v2,Qwen3.5-4B,1.0,,,,,,1238,0.9838449111470113,0.25614837126453477,302.5993431855501,1438877,368566,0.566853632,0.347602944,1048576,26738688,,13,,2685217118879744,17299,0.1
vllm_plus,Qwen3.5-4B,5.0,,,,32,,1238,0.09531502423263329,0.07437605855121737,906.9322033898305,1438877,107018,0.188514304,4.839702528,1048576,26738688,,181,,775269235818496,5753,
marconi_v2,Qwen3.5-4B,5.0,,,,,,1238,0.9967689822294022,0.8302585975034698,968.1037277147487,1438877,1194640,1.835368448,3.155165184,1048576,26738688,,118,,8683397791350784,56011,0
vllm_plus,Qwen3.5-4B,10.0,,,,32,,1238,0.17447495961227788,0.15301655388195098,1019.3148148148148,1438877,220172,0.375881728,9.652666368,1048576,26738688,,361,,1598275671556096,11471,
marconi_v2,Qwen3.5-4B,10.0,,,,,,1238,0.9983844911147012,0.9164751399876432,1066.9053398058252,1438877,1318695,2.932113408,7.059013632,1048576,26738688,,264,,9582219631919104,89481,0.0
vllm_plus,Qwen3.5-4B,20.0,,,,32,,1238,0.3505654281098546,0.3564856481825757,1181.8870967741937,1438877,512939,0.751239168,19.278594048,1048576,26738688,,721,,3731664953540608,22926,
marconi_v2,Qwen3.5-4B,20.0,,,,,,1238,0.9983844911147012,0.9313402048959014,1084.210355987055,1438877,1340084,5.378113536,14.599323648,1048576,26738688,,546,,9734683856207872,164127,0.0
vllm_plus,Qwen3.5-4B,40.0,,,,32,,1238,0.6672051696284329,0.7186833898936462,1251.9334140435835,1438877,1034097,1.501888512,38.530449408,1048576,26738688,,1441,,7518415804301312,45834,
marconi_v2,Qwen3.5-4B,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,7.760412672,32.22011904,1048576,26738688,,1205,,9767193531645952,236829,0.0
