cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens
vllm_block_lru,1.0,,,,32,,1238,0.027463651050080775,0.0076281711362402764,322.8235294117647,1438877,10976,0.071303168,0.91078656,2097152,26787840,34,34,48483,144035740123136.0,1088
vllm_plus,1.0,,,,32,,1238,0.045234248788368334,0.03167678682750506,813.9107142857143,1438877,45579,0.175177728,2.25017856,2097152,26787840,,84,,600889237307392,2673
vllm_marconi_eviction,1.0,,,,32,,1238,0.0032310177705977385,0.00013343739596921765,48.0,1438877,192,0.071303168,0.91078656,2097152,26787840,34,34,48416,2513415700480.0,1088
marconi_v2,1.0,,,,,,1238,0.9507269789983845,0.1999336982938778,244.4180118946474,1438877,287680,0.66551808,0.18751488,2097152,26787840,,7,,3800331933188096,10155
vllm_block_lru,5.0,,,,32,,1238,0.11066235864297254,0.07659306528633093,804.4379562043796,1438877,110208,0.362807296,4.63429632,2097152,26787840,173,173,45242,1452382810537984.0,5536
vllm_plus,5.0,,,,32,,1238,0.12520193861066237,0.08454996500743288,784.8838709677419,1438877,121657,0.361955328,4.66108416,2097152,26787840,,174,,1602929188929536,5523
vllm_marconi_eviction,5.0,,,,32,,1238,0.018578352180936994,0.0036917679551483553,230.95652173913044,1438877,5312,0.362807296,4.63429632,2097152,26787840,173,173,46842,69660330426368.0,5536
marconi_v2,5.0,,,,,,1238,0.9983844911147012,0.7508077479867981,874.0453074433657,1438877,1080320,2.884763648,2.009088,2097152,26787840,,75,,14258483303677952,44018
vllm_block_lru,10.0,,,,32,,1238,0.20920840064620355,0.1669301823574913,927.3822393822394,1438877,240192,0.725614592,9.26859264,2097152,26787840,346,346,41007,3167980657573888.0,11072
vllm_plus,10.0,,,,32,,1238,0.22051696284329564,0.17800062131787497,938.1721611721612,1438877,256121,0.722403328,9.29538048,2097152,26787840,,347,,3377933258063872,11023
vllm_marconi_eviction,10.0,,,,32,,1238,0.04604200323101777,0.016902070156100905,426.6666666666667,1438877,24320,0.725614592,9.26859264,2097152,26787840,346,346,44975,319801671024640.0,11072
marconi_v2,10.0,,,,,,1238,0.9983844911147012,0.9036366555306673,1051.9595469255664,1438877,1300222,4.854841344,5.03611392,2097152,26787840,,188,,17159336668692480,74079
vllm_block_lru,20.0,,,,32,,1238,0.3982229402261712,0.3847222521452494,1122.8559837728194,1438877,553568,1.451229184,18.53718528,2097152,26787840,692,692,30868,7306121750511616.0,22144
vllm_plus,20.0,,,,32,,1238,0.4095315024232633,0.39673648268754036,1125.9467455621302,1438877,570855,1.44637952,18.59076096,2097152,26787840,,694,,7534146129887232,22070
vllm_marconi_eviction,20.0,,,,32,,1238,0.09531502423263329,0.038541167869109036,469.96610169491527,1438877,55456,1.451229184,18.53718528,2097152,26787840,692,692,41205,728862080106496.0,22144
marconi_v2,20.0,,,,,,1238,0.9983844911147012,0.9292225812213275,1081.745145631068,1438877,1337037,8.29980672,11.67949824,2097152,26787840,,436,,17643165812260864,126645
vllm_block_lru,40.0,,,,32,,1238,0.6922455573505655,0.7372193731639327,1237.7689614935823,1438877,1060768,2.902458368,37.07437056,2097152,26787840,1384,1384,14326,1.3999411648528384e+16,44288
vllm_plus,40.0,,,,32,,1238,0.6930533117932148,0.7434408917509975,1246.7599067599067,1438877,1069720,2.889351168,37.12794624,2097152,26787840,,1386,,14118045864689664,44088
vllm_marconi_eviction,40.0,,,,32,,1238,0.1777059773828756,0.08613383909813,563.3454545454546,1438877,123936,2.902458368,37.07437056,2097152,26787840,1384,1384,34096,1629392377741312.0,44288
marconi_v2,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,14.293860352,25.66275072,2097152,26787840,,958,,17743329614888960,218107
