cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens
vllm_plus,1.0,,,,32,,1238,0.045234248788368334,0.03167678682750506,813.9107142857143,1438877,45579,0.175177728,2.25017856,2097152,26787840,,84,,600889237307392,2673
vllm_marconi_eviction,1.0,,,,32,,1238,0.04604200323101777,0.03172891081030554,800.9473684210526,1438877,45654,0.175177728,2.25017856,2097152,26787840,,84,49000,601872046227456,2673
marconi_v2,1.0,,,,,,1238,0.9507269789983845,0.1999336982938778,244.4180118946474,1438877,287680,0.66551808,0.18751488,2097152,26787840,,7,,3800331933188096,10155
vllm_plus,5.0,,,,32,,1238,0.12520193861066237,0.08454996500743288,784.8838709677419,1438877,121657,0.361955328,4.66108416,2097152,26787840,,174,,1602929188929536,5523
vllm_marconi_eviction,5.0,,,,32,,1238,0.12277867528271405,0.08686496483021133,822.2894736842105,1438877,124988,0.361955328,4.66108416,2097152,26787840,,174,45998,1646934926950400,5523
marconi_v2,5.0,,,,,,1238,0.9983844911147012,0.7508077479867981,874.0453074433657,1438877,1080320,2.884763648,2.009088,2097152,26787840,,75,,14258483303677952,44018
vllm_plus,10.0,,,,32,,1238,0.22051696284329564,0.17800062131787497,938.1721611721612,1438877,256121,0.722403328,9.29538048,2097152,26787840,,347,,3377933258063872,11023
vllm_marconi_eviction,10.0,,,,32,,1238,0.21243941841680128,0.18079446679598046,989.1292775665399,1438877,260141,0.724762624,9.29538048,2097152,26787840,,347,41550,3431787676434432,11059
marconi_v2,10.0,,,,,,1238,0.9983844911147012,0.9036366555306673,1051.9595469255664,1438877,1300222,4.854841344,5.03611392,2097152,26787840,,188,,17159336668692480,74079
vllm_plus,20.0,,,,32,,1238,0.4095315024232633,0.39673648268754036,1125.9467455621302,1438877,570855,1.44637952,18.59076096,2097152,26787840,,694,,7534146129887232,22070
vllm_marconi_eviction,20.0,,,,32,,1238,0.3788368336025848,0.3943200148449103,1209.7611940298507,1438877,567378,1.452343296,18.56397312,2097152,26787840,,693,31577,7490435625254912,22161
marconi_v2,20.0,,,,,,1238,0.9983844911147012,0.9292225812213275,1081.745145631068,1438877,1337037,8.29980672,11.67949824,2097152,26787840,,436,,17643165812260864,126645
vllm_plus,40.0,,,,32,,1238,0.6930533117932148,0.7434408917509975,1246.7599067599067,1438877,1069720,2.889351168,37.12794624,2097152,26787840,,1386,,14118045864689664,44088
vllm_marconi_eviction,40.0,,,,32,,1238,0.5864297253634895,0.6577852033217572,1303.6804407713498,1438877,946472,2.905669632,37.12794624,2097152,26787840,,1386,18986,12498292585660416,44337
marconi_v2,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,14.293860352,25.66275072,2097152,26787840,,958,,17743329614888960,218107
